name,bumn,role,political_status,political_affiliation,evidence,sources
Ossy Dermawan,Telkom,Komisaris,kader_partai,Partai Demokrat (Wasekjen DPP),Wakil Sekretaris Jenderal DPP Partai Demokrat. Wamen ATR/BPN di Kabinet Prabowo. Staf pribadi SBY 2014-2018. Diangkat Telkom commissioner May 2025.,"beritasatu.com, wikipedia.org, cnbcindonesia.com"
Ismail,Telkom,Komisaris,pejabat,None (Sekjen Komdigi),Sekjen Kementerian Komunikasi dan Digital. Career civil servant since 1993. ITB graduate. No party affiliation.,antaranews.com
Rionald Silaban,Telkom,Komisaris,pejabat,None (Dirjen DJKN),Dirjen Kekayaan Negara Kemenkeu. No party affiliation or TKN role found.,"tempo.co, bisnis.com"
Yohanes Surya,Telkom,Komisaris Independen,profesional,None,"Renowned physicist, physics olympiad coach. No party links. Resigned Nov 2025.",tempo.co
Deswandhy Agusman,Telkom,Komisaris Independen,profesional,Chairman Yayasan Prabowo Subianto Djojohadikusumo (since 2022),Career finance professional. Chairman of Yayasan Prabowo Subianto — significant political link despite no formal party membership.,telkom.co.id
Bambang Suswantono,Pertamina,Komisaris,pejabat,None (TNI Mar Purn),"Letjen TNI Mar (Purn). Former Danpaspampres, Irjen TNI, Irjen Kemenhan/ESDM. No party affiliation found.","tribunnews.com, cnnindonesia.com"
Condro Kirono,Pertamina,Komisaris Independen,relawan_pemenangan,TKN Prabowo-Gibran (Wakil Ketua),Wakil Ketua TKN Prabowo-Gibran Pilpres 2024. Komjen Pol Purn. Appointed Pertamina commissioner June 2024.,"fortuneidn.com, cnbcindonesia.com, tempo.co"
Sondaryani,Pertamina,Komisaris Independen,profesional,None found,Oil industry professional. Former Ketua Ikatan Alumni Perminyakan Trisakti. No direct political evidence.,tempo.co
Iggi H. Achsien,Pertamina,Komisaris Independen,profesional,None found,Finance/banking professional. MBA ITB. No party links found.,linkedin.com
Alexander Lay,Pertamina,Komisaris Independen,relawan_pemenangan,Relawan Jokowi 2019 (not Prabowo),One of 10 lawyers who defended Jokowi in 2019 pilpres court case. Former Stafsus Mensesneg. Appointed Pertamina commissioner 2017.,"tribunnews.com, cnnindonesia.com"
Burhanuddin Abdullah,PLN,President Commissioner,kader_partai,Partai Gerindra + TKN Prabowo-Gibran (Ketua Dewan Pakar),Ketua Dewan Pakar TKN Prabowo-Gibran. Ketua Dewan Pakar Partai Gerindra. Former Gubernur BI. Appointed PLN Komut July 2024.,"fortuneidn.com, tempo.co, kompas.com"
Aminuddin Ma'ruf,PLN,Commissioner,relawan_pemenangan,TKN Prabowo-Gibran (Wakil Sekretaris) + alumni PMII,Wakil Sekretaris TKN Prabowo-Gibran. Founder Samawi (relawan Jokowi 2019). Now Wakil Kepala BP BUMN + PLN Commissioner.,"nu.or.id, antaranews.com, kompas.com"
Dadan Kusdiana,PLN,Commissioner,pejabat,None (Sekjen ESDM),Career bureaucrat at Kementerian ESDM. Removed from Sekjen by Prabowo Sep 2025.,detik.com
Jisman Parada Hutajulu,PLN,Commissioner,pejabat,None (Dirjen Ketenagalistrikan),Career bureaucrat at ESDM. Removed from Dirjen by Prabowo Sep 2025.,katadata.co.id
Bambang Eko Suhariyanto,PLN,Commissioner,relawan_pemenangan,TKD Prabowo-Gibran Jatim + Wamensesneg,Marsda TNI Purn. Staf Ahli Menhan Prabowo. Wamensesneg Kabinet Prabowo. Listed in TKD Prabowo-Gibran Jatim. Rangkap as PLN commissioner.,"antaranews.com, beritasatu.com, kompas.com"
Yazid Fanani,PLN,Independent Commissioner,profesional,None (Irjen Pol Purn),Retired Inspector General of Police. No direct political party or TKN links found.,tempo.co
Mutanto Juwono,PLN,Independent Commissioner,relawan_pemenangan,Badan Pemenangan Nasional Prabowo-Sandi 2019,Marsma TNI Purn. Anggota Bapanas Prabowo-Sandi 2019. Now PLN Independent Commissioner.,"slideshare.net, tempo.co"
Andi Arief,PLN,Independent Commissioner,kader_partai,Partai Demokrat (Ketua Bappilu DPP) + KIM,Ketua Bappilu DPP Demokrat. Resigned from Bappilu after PLN appointment. Demokrat was part of KIM supporting Prabowo-Gibran.,"tempo.co, kompas.com, tribunnews.com"
Yuliot,Bank Mandiri,Komisaris,pejabat,"None (Wamen ESDM, teknokrat BKPM)",Career teknokrat at BKPM since 1988. Wamen ESDM in Kabinet Prabowo. No party affiliation.,"cnbcindonesia.com, bisnis.com"
Mia Amiati,Bank Mandiri,Komisaris Independen,pejabat,Suspected political connection (Kajati Jatim),Retired Kajati Jatim Mar 2025. Appointed Mandiri commissioner Mar 2025. Rumored connection to Jaksa Agung. Media describes as 'jatah' appointment.,"newsurban.id, monitorindonesia.com"
Zulkifli Zaini,Bank Mandiri,Komisaris Utama/Independen,profesional,None (career banker),"Career banker since 1983. Mantan Dirut Bank Mandiri (2010-2013), Dirut PLN (2019-2021). No party membership found.","wikipedia.org, kompas.com"
B. Bintoro Kunto Pardewo,Bank Mandiri,Komisaris Independen,profesional,None (BI career),Career Bank Indonesia official. Former Komisaris Danareksa. No party affiliation.,"metrotvnews.com, theiconomics.com"
Kartika Wirjoatmodjo,BRI,Komisaris Utama,pejabat,TKN Jokowi-Ma'ruf 2019 + Wamen BUMN,Part of TKN Jokowi-Ma'ruf 2019. Wamen BUMN under Jokowi and Prabowo. Listed as 'Relawan Jokowi yang Jadi Menteri-Komisaris BUMN'.,"cnbcindonesia.com, tempo.co"
Parman Nataatmadja,BRI,Wakil Komisaris Utama/Komisaris Independen,profesional,None (career banker),"Career banker (BCA, BRI Syariah, PNM). No party membership or relawan role found.","indonews.id, tempo.co"
Awan Nurmawan Nuh,BRI,Komisaris,pejabat,None (Irjen Kemenkeu),Former Irjen Kementerian Keuangan. Career bureaucrat. No party affiliation.,"suara.com, bisnis.com"
Helvi Yuni Moraza,BRI,Komisaris,kader_partai,Partai Gerindra (Sekjen DPP) + Wamen UMKM,Former Sekjen DPP Partai Gerindra. Now Wamen UMKM in Kabinet Prabowo. Summoned to Prabowo's Kertanegara for cabinet selection.,"wikipedia.org, antaranews.com"
Edi Susianto,BRI,Komisaris Independen,profesional,None (BI career),Career Bank Indonesia official since 1993. No party affiliation.,"tempo.co, cnbcindonesia.com"
Lukmanul Khakim,BRI,Komisaris Independen,kader_partai,Partai Kebangkitan Bangsa (PKB) — Ketua DPP,Ketua DPP PKB Bidang Perdagangan. Former DPRD DKI Jakarta. Cawagub Jatim 2024. Described as 'anak buah Cak Imin'. Labeled Independent Commissioner despite clear PKB ties.,"suara.com, bisnis.com, cnbcindonesia.com"
Angga Raka Prabowo,Telkom,Komisaris Utama,kader_partai,Partai Gerindra (Wasekjen) + TKN Prabowo-Gibran (Direktur Media Kampanye),Kader Gerindra since 2008. Wasekjen DPP Gerindra. Direktur Media Kampanye TKN Prabowo-Gibran 2024. Sekretaris pribadi Prabowo (2014-2017). Now Wamen Komdigital + Komut Telkom.,"wikipedia.org, detik.com, tempo.co"
Silmy Karim,Telkom,Komisaris,pejabat,"None (professional, now KPK tersangka)","Dirut Krakatau Steel, Dirjen Imigrasi, Wamen Imipas. No formal party membership. Recently became KPK tersangka, dismissed by Prabowo June 2026.","wikipedia.org, kompas.com"
Suahasil Nazara,PLN,Vice President Commissioner,pejabat,"None (technocrat, Professor FEB UI)",Professor Economics FEB UI. Wamenkeu since 2019 (Jokowi and Prabowo). Non-partisan technocrat.,"wikipedia.org, kemenkeu.go.id"
Nezar Patria,Indosat,Komisaris Utama,pejabat,None (journalist/activist),"Career journalist (Tempo), activist (Reformasi 1998, Kontras). Wamenkominfo/Komdigital. No party membership.","wikipedia.org, kompas.com"
M. Rudy Salahuddin Ramto,Bank Mandiri,Wakil Komisaris Utama,pejabat,None (Sekretaris Kemeninvest),Sekretaris Kementerian Investasi/BKPM. Career bureaucrat. No party affiliation.,bkpm.go.id
Luky Alfirman,Bank Mandiri,Komisaris,pejabat,"None (Dirjen Kemenkeu, teknokrat)",Career Kemenkeu official. Former Dirjen Anggaran. Described as 'anak buah Sri Mulyani'. No party affiliation.,"tvonenews.com, tribunnews.com"
Dony Oskaria,Pertamina,Wakil Komisaris Utama,pejabat,None (explicitly non-partisan),"Career at CT Corp. Wamen BUMN, COO Danantara, Kepala BP BUMN. Explicitly described as 'profesional murni, bukan kader partai'.","wikipedia.org, serayunews.com"
Mochamad Iriawan,Pertamina,Komisaris Utama,kader_partai,Partai Gerindra (Wakil Ketua Dewan Pembina),Komjen Pol Purn. Joined Gerindra April 2023. Wakil Ketua Dewan Pembina DPP Gerindra. Ran as DPR candidate 2024 (failed). Appointed Komut Pertamina Nov 2024.,"tribunnews.com, tempo.co, bisnis.com"
Rizal Mallarangeng,Telkom,Komisaris Independen,kader_partai,Partai Golkar (former Waketum) + Chairman Yayasan Prabowo,Former Waketum DPP Golkar. Chairman Yayasan Prabowo Subianto Djojohadikusumo since 2022. Reclassified from Independen to Komisaris in June 2026 RUPST.,"wikipedia.org, telkom.co.id, liputan6.com"
